weight_type,M,E,topk,H,N,avg_duration,overall_perf,pred_perf,perf_diff,rel_gap
w13,2025,128,8,4096,3072,4547.8944,0.402510352306301,0.675981,-0.27347064,-0.40455374
w13,2048,128,8,4096,3072,4543.549,0.4028953087544238,0.675981,-0.27308568,-0.40398428
w13,1929,128,8,4096,3072,4540.9116,0.403129313769476,0.675981,-0.27285168,-0.4036381
w13,1977,128,8,4096,3072,4534.5882,0.4036914701969748,0.675981,-0.2722895,-0.40280646
w13,1833,128,8,4096,3072,4528.0798,0.404271712966687,0.675981,-0.27170926,-0.4019481
w13,1737,128,8,4096,3072,4522.838,0.4047402487544001,0.675981,-0.27124074,-0.40125498
w13,1881,128,8,4096,3072,4522.722400000001,0.4047505938449491,0.675981,-0.2712304,-0.4012397
w13,1785,128,8,4096,3072,4515.8682,0.405364925662767,0.675981,-0.27061605,-0.40033087
w13,1641,128,8,4096,3072,4514.6076,0.4054781144646666,0.675981,-0.27050287,-0.4001634
w13,1689,128,8,4096,3072,4507.7334,0.4060964601845916,0.675981,-0.26988453,-0.3992487
w13,1545,128,8,4096,3072,4502.7734,0.406543793031169,0.675981,-0.2694372,-0.39858693
w13,1521,128,8,4096,3072,4501.2118,0.4066848347806814,0.675981,-0.26929614,-0.39837828
w13,1593,128,8,4096,3072,4496.994199999999,0.4070662526529062,0.675981,-0.26891473,-0.39781404
w13,1536,128,8,4096,3072,4496.6806,0.4070946415886985,0.675981,-0.26888636,-0.39777207
w13,1425,128,8,4096,3072,4494.1269999999995,0.4073259561191425,0.675981,-0.26865503,-0.39742985
w13,1233,60,6,3584,2304,1436.7576,0.3919354266481626,0.66014385,-0.2682084,-0.40628782
w13,1473,128,8,4096,3072,4485.9476,0.4080686491290833,0.675981,-0.26791233,-0.39633116
w13,1329,128,8,4096,3072,4481.7168,0.4084538713369514,0.675981,-0.2675271,-0.39576128
w13,1377,128,8,4096,3072,4472.9934,0.4092504534426216,0.675981,-0.26673052,-0.39458287
w13,1185,60,6,3584,2304,1431.3174,0.3934251081877368,0.66014385,-0.26671875,-0.40403125
w13,1113,60,6,3584,2304,1430.0312,0.3937789629666752,0.66014385,-0.2663649,-0.40349525
w13,1233,128,8,4096,3072,4468.8652,0.4096285064037854,0.675981,-0.26635247,-0.39402363
w13,1152,60,6,3584,2304,1429.8714,0.3938229710350107,0.66014385,-0.26632088,-0.40342855
w13,1152,128,8,4096,3072,4463.419,0.4101283292462244,0.675981,-0.26585266,-0.39328423
