weight_type,M,E,topk,H,N,avg_duration,overall_perf,pred_perf,perf_diff,rel_gap
w13,6,32,4,2048,768,57.0452,0.2897461218978594,0.35467517,-0.06492904,-0.1830662
w13,2,64,6,3584,1536,93.1158,0.3106357307519625,0.36916432,-0.058528572,-0.15854342
w13,124,32,4,2048,768,67.4192,0.3268826580140923,0.3803368,-0.05345413,-0.1405442
w13,501,32,4,2048,768,118.53,0.74371609878288,0.7954245,-0.0517084,-0.0650073
w13,116,32,4,2048,768,67.0418,0.3287227863390257,0.3803368,-0.051614016,-0.13570608
w13,80,32,4,2048,768,67.0228,0.3288159745218596,0.3803368,-0.051520824,-0.13546106
w13,126,32,4,2048,768,67.0162,0.3288483575192818,0.3803368,-0.05148843,-0.13537589
w13,120,32,4,2048,768,66.908,0.3293801533027992,0.3803368,-0.050956637,-0.13397767
w13,489,32,4,2048,768,118.37,0.7447213752533139,0.7954245,-0.050703168,-0.06374353
w13,64,32,4,2048,768,66.85640000000001,0.3296343700406197,0.3803368,-0.050702423,-0.13330927
w13,108,32,4,2048,768,66.818,0.3298238094103938,0.3803368,-0.05051297,-0.13281116
w13,72,32,4,2048,768,66.7984,0.3299205863790703,0.3803368,-0.0504162,-0.13255674
w13,480,32,4,2048,768,118.287,0.7452439337267388,0.7954245,-0.050180614,-0.063086584
w13,82,32,4,2048,768,66.73479999999999,0.330235009278273,0.3803368,-0.050101787,-0.13173005
w13,78,32,6,3072,1024,130.1782,0.3385846062886672,0.38863397,-0.050049365,-0.12878278
w13,122,32,4,2048,768,66.716,0.330328066688406,0.3803368,-0.050008714,-0.13148534
w13,98,32,4,2048,768,66.71560000000001,0.3303300472031082,0.3803368,-0.050006747,-0.13148017
w13,68,32,4,2048,768,66.7094,0.3303607482181475,0.3803368,-0.04997605,-0.13139947
w13,74,32,4,2048,768,66.70899999999999,0.3303627291247611,0.3803368,-0.049974054,-0.13139422
w13,114,32,4,2048,768,66.69,0.3304568495604092,0.3803368,-0.04987994,-0.13114676
w13,84,32,4,2048,768,66.6708,0.3305520152328109,0.3803368,-0.04978478,-0.13089657
w13,100,32,4,2048,768,66.65799999999999,0.3306154894713867,0.3803368,-0.0497213,-0.13072966
w13,112,32,4,2048,768,66.6388,0.3307107465498132,0.3803368,-0.049626052,-0.13047923
w13,92,32,4,2048,768,66.626,0.3307742817696348,0.3803368,-0.049562514,-0.13031217
w13,512,32,4,2048,768,118.1844,0.7458909059802713,0.7954245,-0.049533606,-0.06227317
w13,88,32,4,2048,768,66.6132,0.3308378414065634,0.3803368,-0.049498945,-0.13014504
w13,76,32,4,2048,768,66.60040000000001,0.3309014254746771,0.3803368,-0.049435377,-0.1299779
w13,78,32,4,2048,768,66.60040000000001,0.3309014254746771,0.3803368,-0.049435377,-0.1299779
w13,459,32,4,2048,768,118.1588,0.7460525089010278,0.7954245,-0.049372017,-0.062070023
w13,118,32,4,2048,768,66.5684,0.331060492623883,0.3803368,-0.049276292,-0.12955962
w13,62,32,4,2048,768,66.56219999999999,0.3310913295711934,0.3803368,-0.049245447,-0.12947853
w13,32,32,4,2048,768,66.5556,0.3311241623121674,0.3803368,-0.049212635,-0.12939225
w13,447,32,4,2048,768,118.1204,0.7462950446217146,0.7954245,-0.049129486,-0.061765112
w13,110,32,4,2048,768,66.53,0.3312515751868884,0.3803368,-0.04908523,-0.12905727
w13,90,32,4,2048,768,66.5232,0.3312854357154149,0.3803368,-0.049051344,-0.12896818
w13,471,32,4,2048,768,118.1078,0.7463746610192956,0.7954245,-0.049049854,-0.061665002
w13,96,32,4,2048,768,66.51079999999999,0.3313471992095073,0.3803368,-0.048989594,-0.12880583
w13,106,32,4,2048,768,66.4788,0.3315066953251817,0.3803368,-0.048830092,-0.12838645
w13,102,32,4,2048,768,66.466,0.3315705367734435,0.3803368,-0.048766255,-0.1282186
w13,74,32,6,3072,1024,129.6532,0.3399556246538256,0.38863397,-0.04867834,-0.12525497
w13,128,32,4,2048,768,66.44059999999999,0.3316972949850497,0.3803368,-0.048639506,-0.12788536
w13,66,32,6,3072,1024,129.5764,0.3401571165302275,0.38863397,-0.048476845,-0.12473651
w13,42,32,4,2048,768,66.3766,0.3320171159291631,0.3803368,-0.048319668,-0.12704442
w13,30,32,4,2048,768,66.35740000000001,0.3321131825114258,0.3803368,-0.048223615,-0.12679188
w13,104,32,4,2048,768,66.35079999999999,0.3321462182397754,0.3803368,-0.048190564,-0.12670498
w13,58,32,4,2048,768,66.3508,0.3321462182397754,0.3803368,-0.048190564,-0.12670498
w13,70,32,4,2048,768,66.3382,0.3322093047020222,0.3803368,-0.048127472,-0.1265391
w13,64,32,6,3072,1024,129.4356,0.340527139321542,0.38863397,-0.04810682,-0.12378439
w13,40,32,4,2048,768,66.3252,0.3322744190320374,0.3803368,-0.048062384,-0.12636796
w13,76,32,6,3072,1024,129.4164,0.3405776593566764,0.38863397,-0.048056304,-0.12365441
w13,80,32,6,3072,1024,129.4038,0.3406108212770211,0.38863397,-0.048023134,-0.123569064
w13,44,32,4,2048,768,66.29339999999999,0.33243380633945,0.3803368,-0.04790297,-0.12594882
w13,84,32,6,3072,1024,129.33319999999998,0.3407967528396992,0.38863397,-0.047837228,-0.1230907
w13,60,32,4,2048,768,66.2484,0.3326596158878356,0.3803368,-0.04767719,-0.12535518
w13,66,32,4,2048,768,66.2484,0.3326596158878356,0.3803368,-0.04767719,-0.12535518
w13,60,32,6,3072,1024,129.2564,0.3409992433207747,0.38863397,-0.04763472,-0.12256963
w13,86,32,4,2048,768,66.236,0.3327218928857976,0.3803368,-0.047614902,-0.12519142
w13,36,32,4,2048,768,66.236,0.3327218928857976,0.3803368,-0.047614902,-0.12519142
w13,50,32,4,2048,768,66.23580000000001,0.3327228975445859,0.3803368,-0.04761389,-0.12518875
w13,52,32,4,2048,768,66.20360000000001,0.332884726769899,0.3803368,-0.047452062,-0.12476327
w13,72,32,6,3072,1024,129.1028,0.3414049470218104,0.38863397,-0.04722902,-0.12152572
w13,68,32,6,3072,1024,129.09,0.3414387992436856,0.38863397,-0.047195166,-0.12143861
w13,56,32,4,2048,768,66.1524,0.3331423696976027,0.3803368,-0.04719442,-0.124085866
w13,24,32,4,2048,768,66.1462,0.3331735957195378,0.3803368,-0.04716319,-0.12400375
w13,26,32,4,2048,768,66.1268,0.3332713407753542,0.3803368,-0.047065437,-0.12374674
w13,62,32,6,3072,1024,129.0324,0.3415912173560081,0.38863397,-0.047042757,-0.12104644
w13,405,32,4,2048,768,117.78119999999998,0.7484443118998175,0.7954245,-0.046980202,-0.059063055
w13,94,32,4,2048,768,66.1012,0.3334004117502207,0.3803368,-0.046936393,-0.123407446
w13,58,32,6,3072,1024,128.9876,0.3417098588885086,0.38863397,-0.046924114,-0.12074116
w13,34,32,6,3072,1024,128.9816,0.341725754637618,0.38863397,-0.0469082,-0.1207002
w13,38,32,4,2048,768,66.095,0.3334316861666342,0.3803368,-0.0469051,-0.12332517
w13,435,32,4,2048,768,117.762,0.7485663387912465,0.7954245,-0.04685819,-0.058909666
w13,50,32,6,3072,1024,128.9558,0.3417941232140576,0.38863397,-0.046839833,-0.120524295
w13,82,32,6,3072,1024,128.9492,0.3418116172443674,0.38863397,-0.04682234,-0.12047928
w13,56,32,6,3072,1024,128.94279999999998,0.341828582862846,0.38863397,-0.04680538,-0.12043564
w13,70,32,6,3072,1024,128.9364,0.3418455501655652,0.38863397,-0.046788424,-0.12039201
w13,36,32,6,3072,1024,128.9172,0.3418964621816746,0.38863397,-0.046737492,-0.120260954
w13,52,32,6,3072,1024,128.898,0.3419473893649815,0.38863397,-0.04668659,-0.12012998
w13,54,32,6,3072,1024,128.8852,0.3419813492500875,0.38863397,-0.046652615,-0.120042555
w13,40,32,6,3072,1024,128.873,0.3420137235446321,0.38863397,-0.04662025,-0.11995928
w13,12,32,4,2048,768,66.0374,0.3337225162890073,0.3803368,-0.04661429,-0.12256056
w13,363,32,4,2048,768,117.7044,0.7489326583265771,0.7954245,-0.04649186,-0.05844912
w13,48,32,4,2048,768,66.0052,0.3338853195988148,0.3803368,-0.04645148,-0.12213249
w13,28,32,4,2048,768,65.9732,0.3340472691514689,0.3803368,-0.046289533,-0.121706694
w13,423,32,4,2048,768,117.6724,0.7491363241400257,0.7954245,-0.046288192,-0.058193065
w13,48,32,6,3072,1024,128.71880000000002,0.3424234423749085,0.38863397,-0.046210527,-0.118905015
w13,16,32,4,2048,768,65.94120000000001,0.3342093758861484,0.3803368,-0.04612741,-0.121280424
w13,2,8,2,1024,512,8.9428,0.1026811480426697,0.14876755,-0.0460864,-0.309788
w13,38,32,6,3072,1024,128.6678,0.3425591686060334,0.38863397,-0.046074808,-0.11855579
w13,46,32,4,2048,768,65.9156,0.3343391745987853,0.3803368,-0.04599762,-0.12093918
w13,22,32,6,3072,1024,128.6164,0.3426960682647577,0.38863397,-0.045937896,-0.1182035
w13,18,32,4,2048,768,65.8964,0.3344365898164951,0.3803368,-0.045900196,-0.12068303
w13,384,32,4,2048,768,117.6084,0.7495439882587873,0.7954245,-0.045880556,-0.057680592
w13,54,32,4,2048,768,65.8516,0.3346641129020963,0.3803368,-0.045672685,-0.120084845
w13,18,32,6,3072,1024,128.514,0.3429691286114149,0.38863397,-0.045664847,-0.117500916
w13,20,32,4,2048,768,65.83919999999999,0.3347271427536132,0.3803368,-0.045609653,-0.11991912
